Nome,Citta,Indirizzo,Telefono,Email,Categoria,Motivo,Recensioni,Demo URL,WhatsApp link,Email link,Inviato
La Brace Ristorante Pizzeria,Parma PR,"Strada Abbeveratoia, 55/b, 43120 Parma PR",0521 981255,,SENZA SITO,nessun sito,1341,https://mirondavide.com/agriturismo/la-brace-ristorante-pizzeria/,,,
Pizzeria Ristorante Al Petitot,Parma PR,"Via Pomponio Torelli, 1a, 43123 Parma PR",0521 235594,,SENZA SITO,nessun sito,725,https://mirondavide.com/agriturismo/pizzeria-ristorante-al-petitot/,,,
Il Capriccio Di Partenope,Parma PR,"Strada Provinciale Traversetolo, 193, 43123 Parma PR",0521 641861,,SENZA SITO,nessun sito,564,https://mirondavide.com/agriturismo/il-capriccio-di-partenope/,,,
Dal Teo,Parma PR,"Piazza Filippo Corridoni, 15/E, 43125 Parma PR",0521 235400,,SENZA SITO,nessun sito,541,https://mirondavide.com/agriturismo/dal-teo/,,,
Pizzeria Nuova Aurora,Felino PR,"Via Capelli, 1, 43035 Felino PR",339 301 0475,,SENZA SITO,nessun sito,517,https://mirondavide.com/agriturismo/pizzeria-nuova-aurora/,https://wa.me/393393010475?text=Buongiorno%2C%0A%0Ami%20chiamo%20Davide%2C%20realizzo%20siti%20web%20per%20attivit%C3%A0%20locali.%0AHo%20creato%20un%20sito%20da%20zero%20per%20Pizzeria%20Nuova%20Aurora.%0AEccolo%3A%20https%3A//mirondavide.com/agriturismo/pizzeria-nuova-aurora/%0A%0ALavoro%20da%20solo%20%E2%80%94%20niente%20agenzie.%20Prezzo%20da%20%E2%82%AC500%2C%20consegna%20in%2072%20ore.%0A%0ASe%20vi%20interessa%2C%20possiamo%20sentirci%2010%20minuti%20%E2%80%94%20anche%20al%20telefono%20o%20passo%20di%20persona.%0A%0AUn%20saluto%2C%0ADavide%20%E2%80%94%20379%20210%206196,,
Ciore,Parma PR,"Mario Gandini, 3/A, 43121 Parma PR",338 355 1711,,SENZA SITO,nessun sito,487,https://mirondavide.com/agriturismo/ciore/,https://wa.me/393383551711?text=Buongiorno%2C%0A%0Ami%20chiamo%20Davide%2C%20realizzo%20siti%20web%20per%20attivit%C3%A0%20locali.%0AHo%20creato%20un%20sito%20da%20zero%20per%20Ciore.%0AEccolo%3A%20https%3A//mirondavide.com/agriturismo/ciore/%0A%0ALavoro%20da%20solo%20%E2%80%94%20niente%20agenzie.%20Prezzo%20da%20%E2%82%AC500%2C%20consegna%20in%2072%20ore.%0A%0ASe%20vi%20interessa%2C%20possiamo%20sentirci%2010%20minuti%20%E2%80%94%20anche%20al%20telefono%20o%20passo%20di%20persona.%0A%0AUn%20saluto%2C%0ADavide%20%E2%80%94%20379%20210%206196,,
La Pizza Da Piero,Parma PR,"Borgo Basinio Basini, 8, 43121 Parma PR",0521 347488,,SENZA SITO,nessun sito,289,https://mirondavide.com/agriturismo/la-pizza-da-piero/,,,
Pizzeria Santa Maria,Santa Maria del Piano PR,"Via Argini Sud, 43037 Santa Maria del Piano PR",0521 851081,,SENZA SITO,nessun sito,210,https://mirondavide.com/agriturismo/pizzeria-santa-maria/,,,
Pizzeria il Duca Parma - Oltre L'integrale - Più Fibre - Meno Glicemia,Parma PR,"Viale Duca Alessandro, 9, 43123 Parma PR",324 602 3300,,SENZA SITO,nessun sito,159,https://mirondavide.com/agriturismo/pizzeria-il-duca-parma-oltre-l-integrale-pi-fibre-/,https://wa.me/393246023300?text=Buongiorno%2C%0A%0Ami%20chiamo%20Davide%2C%20realizzo%20siti%20web%20per%20attivit%C3%A0%20locali.%0AHo%20creato%20un%20sito%20da%20zero%20per%20Pizzeria%20il%20Duca.%0AEccolo%3A%20https%3A//mirondavide.com/agriturismo/pizzeria-il-duca-parma-oltre-l-integrale-pi-fibre-/%0A%0ALavoro%20da%20solo%20%E2%80%94%20niente%20agenzie.%20Prezzo%20da%20%E2%82%AC500%2C%20consegna%20in%2072%20ore.%0A%0ASe%20vi%20interessa%2C%20possiamo%20sentirci%2010%20minuti%20%E2%80%94%20anche%20al%20telefono%20o%20passo%20di%20persona.%0A%0AUn%20saluto%2C%0ADavide%20%E2%80%94%20379%20210%206196,,
Pizzeria Al Volo Parma,Parma PR,"Via Volturno, 16/D, 43125 Parma PR",0521 151 2259,,SENZA SITO,nessun sito,158,https://mirondavide.com/agriturismo/pizzeria-al-volo-parma/,,,
Pizza e Cucina,Ozzano Taro PR,"Via Nazionale, 34, 43044 Ozzano Taro PR",392 051 6597,,SENZA SITO,nessun sito,155,https://mirondavide.com/agriturismo/pizza-e-cucina/,,,
Il Poeta Fognano,Parma PR,"Via Annibale Pizzarelli, 43126 Parma PR",0521 674273,,SENZA SITO,nessun sito,21,https://mirondavide.com/agriturismo/il-poeta-fognano/,,,
Pizzeria Sapori Di Parma,Parma PR,"Via S. Leonardo, 145b, 43122 Parma PR",0521 082920,,SENZA SITO,nessun sito,20,https://mirondavide.com/agriturismo/pizzeria-sapori-di-parma/,,,
La Vela,Parma PR,"Str. Montanara, 85, 43124 Parma PR",0521 962478,,SITO MORTO,il sito non si apre,3209,https://mirondavide.com/agriturismo/la-vela/,,,
Porfido Collecchio,Collecchio PR,"Via La Spezia, 1/B, 43044 Collecchio PR",0521 802105,,SITO MORTO,il sito non si apre,1604,https://mirondavide.com/agriturismo/porfido-collecchio/,,,
Pizzeria La Pignata,Parma PR,"Str. Langhirano, 286, 43100 Parma PR",0521 648107,,SITO MORTO,il sito non si apre,888,https://mirondavide.com/agriturismo/pizzeria-la-pignata/,,,
Pizzeria Cittadella Parma,Parma PR,"Viale Duca Alessandro, 45, 43123 Parma PR",0521 181 0422,,SITO VECCHIO,no HTTPS,4568,https://mirondavide.com/agriturismo/pizzeria-cittadella-parma/,,,
Pizzeria Tramonti 2,San Prospero PR,"Via Marco Emilio Lepido, 207, 43122 San Prospero PR",334 350 1493,,SITO VECCHIO,no HTTPS,3932,https://mirondavide.com/agriturismo/pizzeria-tramonti-2/,https://wa.me/393343501493?text=Buongiorno%2C%0A%0Ami%20chiamo%20Davide%2C%20realizzo%20siti%20web%20per%20attivit%C3%A0%20locali.%0AHo%20preparato%20una%20versione%20pi%C3%B9%20moderna%20del%20sito%20per%20Pizzeria%20Tramonti%202.%0AEccolo%3A%20https%3A//mirondavide.com/agriturismo/pizzeria-tramonti-2/%0A%0ALavoro%20da%20solo%20%E2%80%94%20niente%20agenzie.%20Prezzo%20da%20%E2%82%AC500%2C%20consegna%20in%2072%20ore.%0A%0ASe%20vi%20interessa%2C%20possiamo%20sentirci%2010%20minuti%20%E2%80%94%20anche%20al%20telefono%20o%20passo%20di%20persona.%0A%0AUn%20saluto%2C%0ADavide%20%E2%80%94%20379%20210%206196,,
Ristorante Pizzeria Tramonti,Botteghino PR,"Strada Provinciale Traversetolo, 161, 43123 Botteghino PR",0521 643098,,SITO VECCHIO,no HTTPS,3469,https://mirondavide.com/agriturismo/ristorante-pizzeria-tramonti/,,,
Arte & Gusto,Parma PR,"Via Emilia Est, 87, 43123 Parma PR",0521 481784,,SITO VECCHIO,no HTTPS,3398,https://mirondavide.com/agriturismo/arte-gusto/,,,
Pizzeria Passione E Tradizione,Parma PR,"Via Savani, 18, 43126 Parma PR",0521 258459,,SITO VECCHIO,"no HTTPS, non adatto al telefono",2020,https://mirondavide.com/agriturismo/pizzeria-passione-e-tradizione/,,,
Pizzeria Cittadella Parma Paradigna,Parma PR,"Via Paradigna, 30, 43122 Parma PR",0521 158 7949,,SITO VECCHIO,no HTTPS,1671,https://mirondavide.com/agriturismo/pizzeria-cittadella-parma-paradigna/,,,
La Meta,Parma PR,"Largo Francesco Antonio Simonini, 1, 43124 Parma PR",0521 970424,,SITO VECCHIO,no HTTPS,1318,https://mirondavide.com/agriturismo/la-meta/,,,
Antica Osteria della Ghiaia,Parma PR,"Borgo Paggeria, 12, A, 43121 Parma PR",0521 287930,info@osteriadellaghiaia.it,SITO VECCHIO,no HTTPS,1163,https://mirondavide.com/agriturismo/antica-osteria-della-ghiaia/,,mailto:info@osteriadellaghiaia.it?subject=Sito%20nuovo%20per%20Antica%20Osteria%20della&body=Buongiorno%2C%0A%0Ami%20chiamo%20Davide%2C%20realizzo%20siti%20web%20per%20attivit%C3%A0%20locali.%0AHo%20preparato%20una%20versione%20pi%C3%B9%20moderna%20del%20sito%20per%20Antica%20Osteria%20della.%0AEccolo%3A%20https%3A//mirondavide.com/agriturismo/antica-osteria-della-ghiaia/%0A%0ALavoro%20da%20solo%20%E2%80%94%20niente%20agenzie.%20Il%20prezzo%20parte%20da%20%E2%82%AC500%20per%20una%20homepage%20completa%2C%20consegnata%20in%2072%20ore.%0A%0ASe%20vi%20interessa%2C%20possiamo%20sentirci%2010%20minuti%20%E2%80%94%20anche%20al%20telefono%20o%20passo%20di%20persona.%0A%0AUn%20saluto%2C%0ADavide%20%E2%80%94%20379%20210%206196%0A%0A---%0APer%20non%20ricevere%20altri%20messaggi%3A%20rispondete%20%27rimuovi%27.,
Bar Ristorante Pizzeria Corchia di Iasoni Nadia,Corchia PR,"Centro, 19B, 43042 Corchia PR",0525 64452,,SITO VECCHIO,non adatto al telefono,1088,https://mirondavide.com/agriturismo/bar-ristorante-pizzeria-corchia-di-iasoni-nadia/,,,
