Nome,Citta,Indirizzo,Telefono,Email,Categoria,Motivo,Recensioni,Demo URL,WhatsApp link,Email link,Inviato
Ristorante Pizzeria Il Nodo,Parma PR,"Via Pietro Fainardi, 2, 43126 Parma PR",0521 290451,,SENZA SITO,nessun sito,1672,https://mirondavide.com/agriturismo/ristorante-pizzeria-il-nodo/,,,
La Brace Ristorante Pizzeria,Parma PR,"Strada Abbeveratoia, 55/b, 43120 Parma PR",0521 981255,,SENZA SITO,nessun sito,1340,https://mirondavide.com/agriturismo/la-brace-ristorante-pizzeria/,,,
Vecchio Parco,Salsomaggiore Terme PR,"Via Parma, 95, 43039 Salsomaggiore Terme PR",0524 581256,,SENZA SITO,nessun sito,1339,https://mirondavide.com/agriturismo/vecchio-parco/,,,
Trattoria Ceriati di Antonio Tartamella & C Snc,Ceriati PR,"Str. di Cangelasio, 18, 43039 Ceriati PR",0524 573654,,SENZA SITO,nessun sito,1304,https://mirondavide.com/agriturismo/trattoria-ceriati-di-antonio-tartamella-c-snc/,,,
PIZZERIA FILO 2.0 - Fidenza,Fidenza PR,"Via R. Bormioli, 18, 43036 Fidenza PR",0524 530464,,SENZA SITO,nessun sito,939,https://mirondavide.com/agriturismo/pizzeria-filo-2-0-fidenza/,,,
Rendez Vous Des Artistes Salsomaggiore Terme,Salsomaggiore Terme PR,"Viale Cleofonte Campanini, 2, 43039 Salsomaggiore Terme PR",0524 571397,,SENZA SITO,nessun sito,762,https://mirondavide.com/agriturismo/rendez-vous-des-artistes-salsomaggiore-terme/,,,
Pizzeria Ristorante Al Petitot,Parma PR,"Via Pomponio Torelli, 1a, 43123 Parma PR",0521 235594,,SENZA SITO,nessun sito,725,https://mirondavide.com/agriturismo/pizzeria-ristorante-al-petitot/,,,
Dal Teo,Parma PR,"Piazza Filippo Corridoni, 15/E, 43125 Parma PR",0521 235400,,SENZA SITO,nessun sito,541,https://mirondavide.com/agriturismo/dal-teo/,,,
Trattoria 4 Stagioni,Salsomaggiore Terme PR,"V.le Giacomo Matteotti, 6, 43039 Salsomaggiore Terme PR",333 646 2807,,SENZA SITO,nessun sito,530,https://mirondavide.com/agriturismo/trattoria-4-stagioni/,https://wa.me/393336462807?text=Buongiorno%2C%0A%0Ami%20chiamo%20Davide%2C%20realizzo%20siti%20web%20per%20attivit%C3%A0%20locali.%0AHo%20creato%20un%20sito%20da%20zero%20per%20Trattoria%204%20Stagioni.%0AEccolo%3A%20https%3A//mirondavide.com/agriturismo/trattoria-4-stagioni/%0A%0ALavoro%20da%20solo%20%E2%80%94%20niente%20agenzie.%20Prezzo%20da%20%E2%82%AC500%2C%20consegna%20in%2072%20ore.%0A%0ASe%20vi%20interessa%2C%20possiamo%20sentirci%2010%20minuti%20%E2%80%94%20anche%20al%20telefono%20o%20passo%20di%20persona.%0A%0AUn%20saluto%2C%0ADavide%20%E2%80%94%20379%20210%206196,,
Pizzeria Nuova Aurora,Felino PR,"Via Capelli, 1, 43035 Felino PR",339 301 0475,,SENZA SITO,nessun sito,517,https://mirondavide.com/agriturismo/pizzeria-nuova-aurora/,https://wa.me/393393010475?text=Buongiorno%2C%0A%0Ami%20chiamo%20Davide%2C%20realizzo%20siti%20web%20per%20attivit%C3%A0%20locali.%0AHo%20creato%20un%20sito%20da%20zero%20per%20Pizzeria%20Nuova%20Aurora.%0AEccolo%3A%20https%3A//mirondavide.com/agriturismo/pizzeria-nuova-aurora/%0A%0ALavoro%20da%20solo%20%E2%80%94%20niente%20agenzie.%20Prezzo%20da%20%E2%82%AC500%2C%20consegna%20in%2072%20ore.%0A%0ASe%20vi%20interessa%2C%20possiamo%20sentirci%2010%20minuti%20%E2%80%94%20anche%20al%20telefono%20o%20passo%20di%20persona.%0A%0AUn%20saluto%2C%0ADavide%20%E2%80%94%20379%20210%206196,,
